# ----------------------------------------
# JioMart App + Web
# Untitled exploration-Free form 1
# 20240701-20240825
# ----------------------------------------

Session source / medium,Session campaign,Transaction ID,Transaction ID,Purchases
,,,,201054,Grand total
MyJio-CPS / MyJio-CPS,crm_top_Nav/,17237226930258891M,17237226930258891M,2
MyJio-CPS / MyJio-CPS,crm_top_Nav/,17237358280334181A,17237358280334181A,2
MyJio-CPS / MyJio-CPS,crm_top_Nav/,17237429510374580M,17237429510374580M,2
MyJio-CPS / MyJio-CPS,crm_top_Nav/,17242269620075083M,17242269620075083M,2
MyJio-CPS / MyJio-CPS,crm_top_Nav/,17245131980162642M,17245131980162642M,2
MyJio-CPS / MyJio-CPS,crm_top_banner/,17224206070095056A,17224206070095056A,2
MyJio-CPS / MyJio-CPS,crm_top_navigation/,17221353580020693A,17221353580020693A,2
MyJio-CPS / MyJio-CPS,crm_top_navigation/,17243068990054265M,17243068990054265M,2
MyJio-CPS / MyJio-CPS,MyJio-CPS,17197732370002452A,17197732370002452A,1
MyJio-CPS / MyJio-CPS,MyJio-CPS,17197734530002912A,17197734530002912A,1

